Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate,Date
1983,1,1,8.5,,,8.68,5.3,10.4,4.7,1983-01-01
1983,2,1,8.5,,,8.51,,10.4,4.7,1983-02-01
1983,3,1,8.5,,,8.77,,10.3,4.7,1983-03-01
1983,3,31,8.625,,,,,,,1983-03-31
1983,4,1,8.625,,,8.8,9.4,10.2,4.3,1983-04-01
1983,5,1,8.625,,,8.63,,10.1,3.6,1983-05-01
1983,5,25,8.75,,,,,,,1983-05-25
1983,6,1,8.75,,,8.98,,10.1,2.9,1983-06-01
1983,6,24,9.0,,,,,,,1983-06-24
1983,7,1,9.0,,,9.37,8.1,9.4,3.0,1983-07-01
1983,7,14,9.25,,,,,,,1983-07-14
1983,7,20,9.4375,,,,,,,1983-07-20
1983,8,1,9.4375,,,9.56,,9.5,3.0,1983-08-01
1983,8,11,9.5625,,,,,,,1983-08-11
1983,8,17,9.5,,,,,,,1983-08-17
1983,9,1,9.5,,,9.45,,9.2,3.5,1983-09-01
1983,9,15,9.375,,,,,,,1983-09-15
1983,10,1,9.375,,,9.48,8.5,8.8,3.7,1983-10-01
1983,11,1,9.375,,,9.34,,8.5,4.3,1983-11-01
1983,12,1,9.375,,,9.47,,8.3,4.8,1983-12-01
1984,1,1,9.375,,,9.56,8.2,8.0,4.8,1984-01-01
1984,2,1,9.375,,,9.59,,7.8,4.8,1984-02-01
1984,3,1,9.375,,,9.91,,7.8,5.0,1984-03-01
1984,3,29,10.5,,,,,,,1984-03-29
1984,4,1,10.5,,,10.29,7.2,7.7,5.0,1984-04-01
1984,5,1,10.5,,,10.32,,7.4,5.2,1984-05-01
1984,6,1,10.5,,,11.06,,7.2,5.1,1984-06-01
1984,7,1,10.5,,,11.23,4.0,7.5,5.0,1984-07-01
1984,7,5,11.0,,,,,,,1984-07-05
1984,7,19,11.25,,,,,,,1984-07-19
1984,8,1,11.25,,,11.64,,7.5,5.1,1984-08-01
1984,8,9,11.5,,,,,,,1984-08-09
1984,9,1,11.5,,,11.3,,7.3,5.1,1984-09-01
1984,9,20,11.25,,,,,,,1984-09-20
